gene_id,mean_disease,mean_control,sd_disease,sd_control,log2FC,test_statistic,pvalue,padj,significant,gene_name,biotype
HSFY1P1,0.0926072538394277,0.0,0.35039504652386977,0.0,0.0926072538394277,3.1825193216985976,0.0017889747665325324,0.07807728621606407,False,HSFY1P1,transcribed_unprocessed_pseudogene
LINC02102,4.230550974657769,4.632458303387586,0.6477740620177033,0.421541955180249,-0.40190732872981716,-3.478879896477635,0.0017988928479258592,0.07807728621606407,False,LINC02102,lncRNA
AQP7P3,2.9243912188224885,3.785584389659031,1.138845365312012,0.922661347498779,-0.8611931708365423,-3.544835884997068,0.001803611901824407,0.07807728621606407,False,AQP7P3,unprocessed_pseudogene
MIR3147,0.36222368329482363,0.06859628667287387,0.6647685034360364,0.28282973547740803,0.29362739662194975,3.3347043652246606,0.0018060582220797736,0.07807728621606407,False,MIR3147,miRNA
PACRG-AS2,0.09940649148867549,0.0,0.37715548541302096,0.0,0.09940649148867549,3.173790957053044,0.001839976228049356,0.07852614739759418,False,PACRG-AS2,lncRNA
LINC01611,0.09315812960824153,0.0,0.35348390436391425,0.0,0.09315812960824153,3.173475268922452,0.0018418459030493622,0.07852614739759418,False,LINC01611,lncRNA
A2M-AS1,7.1027923525263885,6.853935970236054,0.3769689591477341,0.2641435254085185,0.24885638229033447,3.490075417902669,0.0018559587968465352,0.07858587179524164,False,A2M-AS1,lncRNA
PLEKHM1P1,8.307629349533292,8.80463756540972,0.5689795008544946,0.5400431572820393,-0.49700821587642885,-3.5693823189408866,0.001874650782514499,0.07865129383708327,False,PLEKHM1P1,transcribed_unprocessed_pseudogene
MIR4692,0.10000970321178052,0.0,0.3803695780783034,0.0,0.10000970321178052,3.166068921983263,0.001886219592983501,0.07865129383708327,False,MIR4692,miRNA
MIR4748,1.5730971484036764,2.2388193246552253,1.017665764613159,0.7080482506879147,-0.6657221762515488,-3.478241292461074,0.0019009545553444727,0.07865129383708327,False,MIR4748,miRNA
