gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000241634,0.4097498620113864,1.085575643660103,-0.6758257816487165,4.979732941556847e-07,7.814602592021158e-05,RPL13P8,processed_pseudogene
ENSG00000269486,1.3461335802076537,1.9786120722198661,-0.6324784920122124,5.172087007565551e-07,7.814602592021158e-05,ERVK9-11,lncRNA
ENSG00000234835,1.022239805584162,1.7307794798075202,-0.7085396742233583,5.111823335735011e-07,7.814602592021158e-05,PHB1P13,processed_pseudogene
ENSG00000251600,3.449130620984712,4.349389303976406,-0.9002586829916943,5.252043187020661e-07,7.814602592021158e-05,,lncRNA
ENSG00000236114,1.4382154392153619,2.3818900470140396,-0.9436746077986777,6.453435115183481e-07,9.144431203335929e-05,,unprocessed_pseudogene
ENSG00000204789,3.5682533904778344,4.801100827431114,-1.2328474369532794,6.529907468078022e-07,9.144431203335929e-05,ZNF204P,transcribed_unprocessed_pseudogene
ENSG00000245958,4.291663213355641,5.139424253389579,-0.8477610400339373,6.335707323223971e-07,9.144431203335929e-05,SEPTIN7P14,transcribed_unprocessed_pseudogene
ENSG00000213542,0.7186887102917342,1.2937356768172121,-0.5750469665254779,6.787834432309126e-07,9.322829522221496e-05,RPL7AP43,processed_pseudogene
ENSG00000236466,1.2997926769239168,1.9402290114367535,-0.6404363345128368,7.227166505252569e-07,9.738947769908274e-05,RCAN2-DT,lncRNA
ENSG00000213519,0.730344509489906,1.2800613993352685,-0.5497168898453625,7.44287314224934e-07,9.84388888554533e-05,RPL36P7,processed_pseudogene
ENSG00000205562,2.2269214622080162,3.2851587592475324,-1.0582372970395162,7.67557676084607e-07,9.944448624292549e-05,FLRT2-AS1,lncRNA
ENSG00000279727,0.836036509576272,1.489256794691347,-0.6532202851150751,7.823947834051381e-07,9.944448624292549e-05,LINC02033,lncRNA
ENSG00000284879,3.048564881008538,4.039219384048327,-0.9906545030397886,8.075861386291905e-07,9.944448624292549e-05,NCAL1,lncRNA
ENSG00000223403,2.0588936381204195,3.109886530552688,-1.0509928924322685,7.947365419092023e-07,9.944448624292549e-05,MEG9,lncRNA
ENSG00000248455,3.185584207272571,4.418708760337033,-1.233124553064462,8.254705636812076e-07,9.992391128493534e-05,LINC02217,lncRNA
ENSG00000235310,1.3130010094478575,2.261014826130746,-0.9480138166828884,8.970015163978218e-07,0.00010677308050188739,GXYLT1P6,processed_pseudogene
ENSG00000226642,1.6669066776438508,2.481868995979927,-0.8149623183360761,9.365749646939037e-07,0.00010965603930891572,ACTG1P12,processed_pseudogene
ENSG00000253853,2.246379126488969,3.40915729463962,-1.1627781681506506,1.0694344292350166e-06,0.00011307614968823193,,lncRNA
ENSG00000235597,2.770062791712527,3.7484131828998097,-0.9783503911872828,1.0454267123094496e-06,0.00011307614968823193,LINC01102,lncRNA
ENSG00000286129,3.5418265270182303,4.177144419647584,-0.6353178926293541,1.0539716477353522e-06,0.00011307614968823193,,lncRNA
ENSG00000180438,2.1885706331481045,2.891101945013764,-0.7025313118656595,1.0165730714994936e-06,0.00011307614968823193,TPRXL,transcribed_processed_pseudogene
ENSG00000233716,0.8746548185442609,1.522556889199088,-0.6479020706548271,1.0640562821961908e-06,0.00011307614968823193,MTFR2P1,processed_pseudogene
ENSG00000214765,3.92276207017797,4.658797567482976,-0.7360354973050058,1.0766141387286154e-06,0.00011307614968823193,SEPTIN7P2,transcribed_unprocessed_pseudogene
ENSG00000260196,2.0290682665094155,3.1997188678165385,-1.170650601307123,1.0253113957858773e-06,0.00011307614968823193,,lncRNA
ENSG00000286977,1.0739045922904418,1.6489661783812828,-0.575061586090841,1.2909409285999374e-06,0.00013362174075450366,,lncRNA
ENSG00000231312,4.504021394172363,5.444174176091914,-0.9401527819195508,1.3141651002968047e-06,0.00013408238780456827,MAP4K3-DT,lncRNA
ENSG00000261584,1.6190050640730806,2.416670337388755,-0.7976652733156744,1.3336849200573653e-06,0.00013415743238098172,,lncRNA
ENSG00000287480,3.5770488028780982,4.773230544925458,-1.1961817420473602,1.3732705133051581e-06,0.00013622080563924222,,lncRNA
ENSG00000226673,0.38770795064152036,0.0,0.38770795064152036,1.4074219012449873e-06,0.00013769598929714655,LINC01108,lncRNA
ENSG00000258561,1.564201618769188,2.6420169978327794,-1.0778153790635914,1.487537047317744e-06,0.00014279786536701997,,lncRNA
ENSG00000255052,4.979450783128384,6.2233476324874655,-1.2438968493590812,1.4995575332577005e-06,0.00014279786536701997,FAM66D,lncRNA
ENSG00000214783,2.7668181825436275,3.687293187224861,-0.9204750046812333,1.5489426763437564e-06,0.00014398856326226116,POLR2J4,lncRNA
ENSG00000270863,1.4557475524411878,2.3523507000318924,-0.8966031475907046,1.5523829979269266e-06,0.00014398856326226116,DDX55P1,processed_pseudogene
ENSG00000185986,4.00073342281176,4.912024806272928,-0.911291383461168,1.645243364434279e-06,0.00015021487653381298,SDHAP3,transcribed_unprocessed_pseudogene
ENSG00000234345,0.7472837278680802,1.3251722400251371,-0.5778885121570569,1.6618483473784806e-06,0.00015021487653381298,ELF2P1,processed_pseudogene
ENSG00000239883,4.153462529870925,4.8317137564447785,-0.6782512265738534,1.7036411368298587e-06,0.00015021487653381298,PARGP1,transcribed_unprocessed_pseudogene
ENSG00000282826,4.20396944419814,5.3270197074507735,-1.1230502632526331,1.69096291791071e-06,0.00015021487653381298,FRG1CP,transcribed_unprocessed_pseudogene
ENSG00000237818,1.1372784654863881,2.031375632124599,-0.8940971666382109,1.7272841201787514e-06,0.00015044223397947125,RPS3AP29,processed_pseudogene
ENSG00000235478,0.8833892816804604,1.397842688550645,-0.5144534068701846,1.788180981288079e-06,0.00015386974178746338,LINC01664,lncRNA
ENSG00000277449,2.939980729323341,3.570304766286851,-0.6303240369635099,1.9018738914855504e-06,0.00015980215685870353,CEBPB-AS1,lncRNA
